Nimi;Lukumäärä
Jan-Ole;39
Jeremiah;39
Jerkko;39
Joas;39
Kristjan;39
Lamin;39
Lars-Olof;39
Lion;39
Maxwell;39
Remy;39
Ronni;39
Saman;39
Sante;39
Silas;39
Sippo;39
Sumu;39
Aire;38
Anne-Liisa;38
Berfin;38
Daalia;38
Dilan;38
Ellanoora;38
Emmaliina;38
Fartun;38
Henna-Maija;38
Ivy;38
Jessina;38
Joana;38
Lorena;38
Minh;38
Rafaela;38
Sidra;38
Talvi;38
Tiina-Marja;38
Tuuni;38
Vea;38
Vivi-Ann;38
Abdel;38
Aku-Petteri;38
Alejandro;38
Allu;38
Cosmo;38
Danila;38
Donald;38
Gary;38
Iisko;38
Ivo;38
Lauri-Pekka;38
Leander;38
Misca;38
Nicolai;38
Rickhard;38
Saif;38
The;38
Tomi-Petteri;38
Untamo;38
Veerti;38
Vilko;38
Agda;37
Anne-Marjut;37
Ann-Helen;37
Anni-Emilia;37
Cathrine;37
Desirée;37
Ellamari;37
Elsa-Maria;37
Gunlis;37
Jasna;37
Jeni;37
Jenny-Maria;37
Joanne;37
Kalla;37
Laine;37
Lejla;37
Lotten;37
Lovis;37
Magdaleena;37
Mariette;37
Marja-Elina;37
Mathilde;37
Nasrin;37
Rayaan;37
Saara-Kaisa;37
Scarlett;37
Soilikki;37
Suad;37
Tiia-Tuulia;37
Ubah;37
Ulla-Brita;37
Vesta;37
Ülle;37
Aaretti;37
Aari;37
Abdallah;37
Abdinasir;37
Abraham;37
Arvin;37
Can;37
Christos;37
Dario;37
Egon;37
Farhad;37
Fernando;37
Gert;37
Gregory;37
Hendrik;37
Jaime;37
Jan-Eerik;37
Janiel;37
Jouna;37
Keith;37
Larry;37
Lorenzo;37
Miitri;37
Onni-Pekka;37
Pasi-Petteri;37
Ramses;37
Tatu-Pekka;37
Tico;37
Ville-Mikko;37
Wilton;37
Aada-Sofia;36
Adéle;36
Aino-Inkeri;36
Andréa;36
Annastina;36
Céline;36
Chantal;36
Ciia;36
Diane;36
Eetla;36
Eevaleena;36
Ella-Maija;36
Emma-Kaisa;36
Enia;36
Erja-Leena;36
Iida-Lotta;36
Kea;36
Kitte;36
Leena-Kaarina;36
Liisu;36
Miia-Marika;36
Mildrid;36
Mirja-Riitta;36
Nawal;36
Ofelia;36
Renate;36
Samsam;36
Satu-Sisko;36
Seea;36
Sini-Tuuli;36
Tuuve;36
Viivi-Maria;36
Aalto;36
Angelo;36
Aras;36
Arash;36
Aro;36
Arttu-Pekka;36
Bryan;36
Eetu-Pekka;36
Evgeni;36
Göte;36
Hannu-Matti;36
Jalmar;36
Javier;36
Jeeli;36
Juha-Mikko;36
Jules;36
Mikko-Matti;36
Mikko-Ville;36
Misha;36
Nima;36
Roine;36
Tarek;36
Valery;36
Veli-Markku;36
Anab;35
Anmari;35
Annaliina;35
Anne-Kaarina;35
Anu-Liisa;35
Anu-Mari;35
Dorothy;35
Eedith;35
Eeva-Kristiina;35
Hailey;35
Hannamaria;35
Hanna-Marja;35
Hanneli;35
Heli-Maria;35
Henniina;35
Idil;35
Iida-Maija;35
Joyce;35
Juno;35
Krista-Maria;35
Leena-Mari;35
Lilya;35
Lise-Lott;35
Maijaliisa;35
Norah;35
Onna;35
Saba;35
Sanni-Sofia;35
Sirpa-Leena;35
Sorella;35
Teija-Liisa;35
Tuija-Leena;35
Yara;35
Zelda;35
Aaku;35
Abdirashid;35
Ake;35
Antti-Matti;35
Arlo;35
Carl-Eric;35
Claudio;35
Eepi;35
Eilo;35
Erol;35
Ezra;35
Grigori;35
Halil;35
Henning;35
Jamil;35
Josia;35
Lars-Göran;35
Mahamud;35
Mainio;35
Marvin;35
Muisto;35
Rino;35
Samy;35
Setti;35
Sonny;35
Tan;35
Théo;35
Yoonis;35
Aletta;34
Alisha;34
Amani;34
Anne-Maaret;34
Anu-Leena;34
Arlene;34
Ashley;34
Caterina;34
Desiree;34
Ditte;34
Elmira;34
Emi;34
Emma-Leena;34
Evgeniia;34
Faina;34
Fatou;34
Jaana-Maria;34
Kerttuli;34
Kiisa;34
Ksenija;34
Leanna;34
Lilija;34
Marge;34
Mariya;34
Marja-Kristiina;34
Marjanne;34
Marlen;34
Mildred;34
Milja-Maria;34
Millie;34
Myrsky;34
Najmo;34
Priitta;34
Reetta-Leena;34
Tatjaana;34
Aku-Pekka;34
Alaa;34
Alessio;34
Aryan;34
Benyamin;34
Brahim;34
Calvin;34
Dan-Erik;34
Ensi;34
Evgenii;34
Fahad;34
Frederick;34
Frey;34
Fuad;34
Georgij;34
Habib;34
Imad;34
Jay;34
Jeffrey;34
John-Erik;34
Jüri;34
Jörn;34
Kadir;34
Kemal;34
Lawrence;34
Léo;34
Logan;34
Love;34
Majid;34
Mikko-Matias;34
Miroslav;34
Niels;34
Olli-Heikki;34
Onur;34
Pellervo;34
Päiviö;34
Reidar;34
Rodi;34
Samu-Petteri;34
Santiago;34
Willem;34
Adea;33
Alevtina;33
Anja-Leena;33
Catalina;33
Darina;33
Florence;33
Habiba;33
Hilkka-Maija;33
Ingegärd;33
Ingvor;33
Katie;33
Kseniia;33
Lida;33
Mandy;33
Mari-Ann;33
Marikka;33
Mari-Leena;33
Marlena;33
Merve;33
Miija;33
Nasti;33
Nimco;33
Nisa;33
Nur;33
Pia-Kristiina;33
Ros-Marie;33
Saara-Sofia;33
Sabrin;33
Samia;33
Sibel;33
Sima;33
Sini-Marja;33
Sissel;33
Smilla;33
Tasnim;33
Titi;33
Tuikku;33
Vasilisa;33
Abdirisak;33
Abubakar;33
Ari-Juhani;33
Aydin;33
Bob;33
Cameron;33
Damir;33
Jackson;33
Jaki;33
Jürgen;33
Kivi;33
Metin;33
Miles;33
Mortti;33
Nilla;33
Osvald;33
Otto-Pekka;33
Simopekka;33
Solomon;33
Uki;33
Ada-Maria;32
Anne-Christine;32
Anni-Leena;32
Dilara;32
Eevamaija;32
Eeva-Sisko;32
Elliina;32
Evie;32
Gabrielle;32
Gun-May;32
Hanna-Riina;32
Iida-Mari;32
Jelina;32
June;32
Karelia;32
Kirsi-Maaria;32
Kirta;32
Leena-Riitta;32
Leena-Sisko;32
Lydmila;32
Maare;32
Malgorzata;32
Malou;32
Meya;32
Muna;32
Natalija;32
Reetta-Kaisa;32
Rosi;32
Salka;32
Sandy;32
Sania;32
Sasha;32
Serafima;32
Sini-Maarit;32
Sofiia;32
Thyra;32
Tiiamari;32
Valerie;32
Vivika;32
Abbe;32
Alireza;32
Antti-Oskari;32
Bernard;32
Billy;32
Christoph;32
Cong;32
Duy;32
Enis;32
Hans-Peter;32
Ismet;32
Jere-Petteri;32
Juho-Heikki;32
Juho-Ville;32
Kay;32
Mirka;32
Mitri;32
Pierre;32
Pyry-Petteri;32
Sigge;32
Trong;32
Vennu;32
Ville-Juhani;32
Vito;32
Zakariye;32
Ainomaria;31
Ariela;31
Britt-Louise;31
Chelsea;31
Christin;31
Cira;31
Eevakaisa;31
Eevamaria;31
Eja;31
Elen;31
Elice;31
Eva-Marie;31
Evia;31
Faadumo;31
Farhiyo;31
Gundel;31
Hannaliisa;31
Iida-Emilia;31
Iida-Liisa;31
Inca;31
Irkka;31
Jael;31
Julietta;31
Julina;31
Junia;31
Kiia-Maria;31
Laura-Maija;31
Lin;31
Lizette;31
Mai-Lis;31
Marjaterttu;31
Meliina;31
Minta;31
Molla;31
Munira;31
Natja;31
Neena;31
Nenne;31
Nguyen;31
Novalie;31
Pippa;31
Roosa-Mari;31
Ruu;31
Safina;31
Saija-Leena;31
Sannamaija;31
Sanna-Marja;31
Sanna-Riitta;31
Seija-Leena;31
Seynab;31
Suvi-Maarit;31
Tiina-Leena;31
Tilla;31
Tilta;31
Ullamari;31
Yan;31
Yuliya;31
Zoja;31
Abdirizak;31
Aiman;31
Ako;31
Andi;31
Ervin;31
Felipe;31
Heppu;31
Ingemar;31
Janus;31
Jouni-Pekka;31
Juho-Matias;31
Jyri-Petteri;31
Kaiku;31
Kamil;31
Kari-Tapio;31
Karrar;31
Kris;31
Kyle;31
Luqman;31
Mauro;31
Milian;31
Milos;31
Olli-Jussi;31
Osama;31
Pate;31
Remus;31
Rudy;31
Samu-Pekka;31
Tomás;31
Umar;31
Veli-Juhani;31
Vili-Veikko;31
Walle;31
Wertti;31
Aija-Leena;30
Ajla;30
Alvina;30
Ania;30
Ayda;30
Carol;30
Desiré;30
Edona;30
Eeva-Riikka;30
Ellinora;30
Gladys;30
Irinja;30
Jeena;30
Kamila;30
Kathleen;30
Kirsi-Leena;30
Krisse;30
Liila;30
Linda-Marie;30
Lynn;30
Maren;30
Mari-Susanna;30
Mette-Maria;30
Mimma;30
Minnaliisa;30
Nyyti;30
Rosalina;30
Samiira;30
Seija-Sisko;30
Shahla;30
Shamso;30
Suvianna;30
Tuana;30
Tuulianna;30
Tähti;30
Abukar;30
Alban;30
Arjo;30
Artin;30
Dmytro;30
Douglas;30
Eddy;30
Elliott;30
Enrico;30
Eren;30
Erkan;30
Fabio;30
Federico;30
Gennadi;30
Gia;30
Gilbert;30
Goran;30
Jarre;30
Juha-Ville;30
Kaappo;30
Louie;30
Matti-Juhani;30
Maxime;30
Miklos;30
Mubarak;30
Nalle;30
Ramazan;30
Ruu;30
Stanley;30
Tor-Björn;30
Ville-Veikka;30
Östen;30
Alana;29
Anh;29
Aniita;29
Anna-Julia;29
Anne-Charlotte;29
Anne-Marika;29
Anzhelika;29
Camille;29
Cynthia;29
Danica;29
Delia;29
Dunia;29
Eeva-Lotta;29
Eija-Inkeri;29
Elza;29
Emilla;29
Emma-Liisa;29
Eva-Kaarina;29
Eva-Maija;29
Gunni;29
Hanna-Sofia;29
Hanne-Maarit;29
Hatice;29
Helmi-Sofia;29
Henna-Maaria;29
Ilham;29
Ioulia;29
Jemiina;29
Jenni-Johanna;29
Joline;29
Jonna-Riikka;29
Kai;29
Katarzyna;29
Kathy;29
Katy;29
Kerttu-Liisa;29
Kukka-Maria;29
Linh;29
Maija-Stiina;29
Marja-Lea;29
Marjoriitta;29
Meerit;29
Minnie;29
Muniira;29
Nan;29
Narges;29
Neera;29
Nele;29
Noora-Emilia;29
Nura;29
Odette;29
Piita;29
Reina;29
Riitta-Maria;29
Roosa-Maaria;29
Serina;29
Telle;29
Tetiana;29
Tiija;29
Vanilla;29
Villa;29
Vilmiina;29
Violeta;29
Abdirahim;29
Abdurahman;29
Aden;29
Aldo;29
Alwin;29
András;29
Antoine;29
Aripekka;29
Edin;29
Faruk;29
Gideon;29
Guido;29
Hamse;29
Husein;29
Iouri;29
Janos;29
Jared;29
Johny;29
Juha-Markus;29
Juuso-Petteri;29
Kalle-Petteri;29
Karwan;29
Larri;29
Le;29
Lee;29
Leimu;29
Mattis;29
Micah;29
Misael;29
Mohsen;29
Mustafe;29
Nikolaj;29
Nuno;29
Oki;29
Olivier;29
Orhan;29
Paju;29
Peeter;29
Pyry-Pekka;29
Sigvard;29
Simeoni;29
Thure;29
Tord;29
Vasily;29
Ville-Eemeli;29
Villiam;29
Wiggo;29
Yannick;29
Aiju;28
Alfhild;28
Amaya;28
Annabelle;28
Anna-Pauliina;28
Bao;28
Bertha;28
Brigitte;28
Edita;28
Eili;28
Eveline;28
Eyvor;28
Giulia;28
Hanaan;28
Hannemari;28
Helpi;28
Henna-Riina;28
Henna-Riitta;28
Ingemo;28
Isadora;28
Janna-Mari;28
Jella;28
Juanita;28
Kara;28
Karima;28
Katja-Leena;28
Katya;28
Kia-Maria;28
Kimberly;28
Kristen;28
Lisa-Marie;28
Maija-Sisko;28
Majlen;28
Marjo-Kaisa;28
Mimoza;28
Oma;28
Parisa;28
Priska;28
Rahmo;28
Renée;28
Riitta-Marja;28
Ripsa;28
Rosalinda;28
Runo;28
Sannaleena;28
Seliina;28
Shirley;28
Sickan;28
Sihaam;28
Suvi-Tuulikki;28
Tatyana;28
Tiinamari;28
Tuuli-Maaria;28
Tuyet;28
Virginia;28
Anssi-Pekka;28
Arseni;28
Ayoub;28
Connor;28
Dahir;28
Elon;28
Enver;28
Ervo;28
Ferhat;28
Fidel;28
Haider;28
Heikki-Pekka;28
Imraan;28
Jari-Juhani;28
Jimmie;28
Jussipekka;28
Koitto;28
Lauri-Matti;28
Mergim;28
Mooses;28
Moses;28
Naser;28
Nathanael;28
Oma;28
Prince;28
Rahim;28
Rane;28
Saarni;28
Saku-Pekka;28
Salmaan;28
Sami-Petri;28
Ukri;28
Varma;28
Vesa-Jukka;28
Vesa-Petteri;28
Viet;28
Viliam;28
Wincent;28
Xavier;28
Zaid;28
Aino-Emilia;27
Aino-Marja;27
Alison;27
Alviina;27
Amna;27
Anetta;27
Angelique;27
Anne-Leena;27
Annemaria;27
Anne-Maritta;27
Annimaria;27
Anu-Kaisa;27
Armiida;27
Debora;27
Derya;27
Edel;27
Eiri;27
Emmie;27
Emmi-Kaisa;27
Eunice;27
Eva-Lena;27
Faduma;27
Faiza;27
Freia;27
Greeta;27
Gunveig;27
Helén;27
Heli-Marja;27
Hoang;27
Holly;27
Iivi;27
Jenna-Riikka;27
Jiina;27
Kadri;27
Kateryna;27
Liliia;27
Maija-Kaarina;27
Maria-Helena;27
Markit;27
Miia-Liisa;27
Milou;27
Naimo;27
Nasteho;27
Olesia;27
Petra-Maria;27
Rabia;27
Reetta-Maria;27
Sakina;27
Sanna-Marika;27
Sigbritt;27
Tetti;27
Tiara;27
Trine;27
Ulla-Liisa;27
Ulla-Maarit;27
Uni;27
Valeriia;27
Zamzam;27
Abdelaziz;27
Abdimalik;27
Ailo;27
Antti-Veikko;27
Ardian;27
Austin;27
Caleb;27
Dana;27
Eduardo;27
Ensar;27
Ernesti;27
Espen;27
Joosef;27
Jori-Pekka;27
Jusuf;27
Kai-Markus;27
Kalle-Matti;27
Karam;27
Kari-Juhani;27
Karolus;27
Lars-Eric;27
Lars-Henrik;27
Liiban;27
Margus;27
Mason;27
Maurits;27
Mick;27
Mirco;27
Neil;27
Peeti;27
Petros;27
Ramon;27
Saeed;27
Sasa;27
Shahin;27
Tani;27
Tuovi;27
Veeti-Valtteri;27
Ville-Antti;27
Ylermi;27
Zain;27
Aaliyah;26
Adaliina;26
Agnesa;26
Ahlam;26
Aino-Mari;26
Alona;26
Amaal;26
Anuliina;26
Binta;26
Deniz;26
Donia;26
Edina;26
Ellimaija;26
Elli-Sofia;26
Ema;26
Emeliina;26
Emmi-Noora;26
Enni-Maria;26
Henna-Liisa;26
Iidamaria;26
Ilhan;26
Inga-Liisa;26
Ivana;26
Jaanika;26
Janice;26
Jasmiini;26
Jertta;26
Kaiho;26
Kaja;26
Kristi;26
Lilja-Maria;26
Lisa-Maria;26
Lorin;26
Lotta-Emilia;26
Lotta-Mari;26
Madelen;26
Madicken;26
Maissi;26
Margareeta;26
Mari-Annika;26
Maritsa;26
Marja-Anneli;26
Marjanna;26
Marle;26
Marsa;26
Maxine;26
Melike;26
Mercedes;26
Miia-Riikka;26
Milla-Riina;26
Minette;26
Minna-Kristiina;26
Mirela;26
Muska;26
Nahid;26
Nea-Sofia;26
Nida;26
Odelia;26
Olesya;26
Penny;26
Perla;26
Päivyt;26
Rebeca;26
Renee;26
Riia-Maria;26
Roosamari;26
Rosa-Marie;26
Saara-Liisa;26
Sallamaria;26
Senia;26
Silje;26
Susana;26
Sävy;26
Tarina;26
Taru-Tuulia;26
Thilde;26
Ulla-Britta;26
Ulla-Kaarina;26
Vilhelmina;26
Vivica;26
Zanna;26
Abdulla;26
Abu;26
Alain;26
Amer;26
Anatoly;26
Andriy;26
Attila;26
Carolus;26
Cedrik;26
Eeri;26
Eero-Matti;26
Ernesto;26
Fatmir;26
Furkan;26
Hamed;26
Hartti;26
Henri-Pekka;26
Hessu;26
Hicham;26
Hossein;26
Hubert;26
Iippo;26
Irfan;26
Jeemi;26
Joni-Markus;26
Joonas-Petteri;26
Léon;26
Loke;26
Matvey;26
Muad;26
Nikko;26
Nur;26
Pasi-Matti;26
Peder;26
Pekka-Juhani;26
Ramzi;26
Rashid;26
Rian;26
Rick;26
Rodrigo;26
Sébastien;26
Serhat;26
Tanu;26
Thien;26
Tomasz;26
Tyler;26
Viatcheslav;26
Ville-Heikki;26
Ville-Joonas;26
Ville-Samuli;26
Vinh;26
Aasa;25
Alica;25
Anastasiya;25
Ancela;25
Anni-Lotta;25
Bibi;25
Bich;25
Carolyn;25
Chris;25
Elisaveta;25
Ellamaria;25
Emmelie;25
Ene;25
Faith;25
Gunbritt;25
Hannariikka;25
Hazel;25
Henna-Maarit;25
Hennamari;25
Ida-Mari;25
Ila;25
Iona;25
Iraida;25
Ira-Maria;25
Iro;25
Israa;25
Jessie;25
Justina;25
Lee;25
Liliya;25
Liona;25
Madison;25
Marena;25
Maria-Sofia;25
Marine;25
Masoumeh;25
Meritta;25
Mia-Marika;25
Minne;25
Moira;25
Nata;25
Nazanin;25
Ninette;25
Pilvi-Sisko;25
Päivi-Sisko;25
Raija-Riitta;25
Reet;25
Riikka-Maija;25
Ronia;25
Saara-Leena;25
Sadaf;25
Saina;25
Satu-Johanna;25
Seila;25
Selda;25
Silja-Maria;25
Sini-Pilvi;25
Sini-Vuokko;25
Sirkkaliisa;25
Sofiina;25
Suvi-Elina;25
Suzana;25
Tiida;25
Tiltu;25
Tuija-Riitta;25
Utu;25
Venla-Maria;25
Vivienne;25
Warda;25
Wilja;25
Yael;25
Abdirisaq;25
Ailu;25
Albion;25
Aleksandar;25
Amiir;25
Amine;25
Aran;25
Are;25
Asa;25
Bekim;25
Burhan;25
Davin;25
Eben;25
Ehsan;25
Erfan;25
Fouad;25
Gholam;25
Hamsa;25
Hayder;25
Jaakko-Pekka;25
Jani-Markus;25
Jethro;25
Jooas;25
Jun;25
Jyri-Matti;25
Kai-Kristian;25
Kajo;25
Kirka;25
Lasse-Pekka;25
Leo-Pekka;25
Leopold;25
Lorenz;25
Malek;25
Michail;25
Mir;25
Niko-Matti;25
Olli-Veikko;25
Ora;25
Peitsa;25
Reda;25
Rein;25
Roomeo;25
Sacha;25
Sami-Matti;25
Sandro;25
Sulho;25
Tariq;25
Terry;25
Timofey;25
Tom-Erik;25
Vu;25
Wictor;25
Yan;25
Aija-Liisa;24
Ainokaisa;24
Aino-Leena;24
Alea;24
Aleksia;24
Aliya;24
Amber;24
Amra;24
Amran;24
Anissa;24
Annasofia;24
Anne-Helena;24
Anne-Maaria;24
Asia;24
Asli;24
Aula;24
Britt-Inger;24
Darya;24
Dinah;24
Dolly;24
Donya;24
Eedi;24
Eline;24
Elli-Mari;24
Eloise;24
Fatmire;24
Gaia;24
Gun-Marie;24
Gun-Viol;24
Ha;24
Heli-Maarit;24
Hoda;24
Iinu;24
Ikram;24
India;24
Indira;24
Inge-Britt;24
Isella;24
Jenifer;24
Kastanja;24
Keira;24
Léa;24
Liina-Lotta;24
Lowa;24
Lucie;24
Maggie;24
Maira;24
Malaika;24
Manar;24
Margetta;24
Mariko;24
Maryna;24
Mayvor;24
Mikael;24
Milla-Emilia;24
Minna-Marika;24
Penelope;24
Peppilotta;24
Phoebe;24
Pi;24
Pihla-Maria;24
Priita;24
Qamar;24
Rihanna;24
Ruuth;24
Sannamaria;24
Saranda;24
Sari-Susanna;24
Satu-Susanna;24
Sindi;24
Sirkka-Maija;24
Siro;24
Siv-Britt;24
Tari;24
Teiju;24
Titta-Maria;24
Uljana;24
Viktorija;24
Zehra;24
Zina;24
Aatami;24
Abdirahmaan;24
Abdurrahman;24
Alper;24
Andréas;24
Antti-Petteri;24
Ara;24
Arin;24
Armend;24
Dage;24
Dmitrij;24
Driss;24
Elyas;24
Evgueni;24
Ewan;24
Fadi;24
Faysal;24
Frederik;24
Georgy;24
Giuseppe;24
Gustavo;24
Harrison;24
Hektor;24
Henno;24
Imre;24
Jakub;24
Janrik;24
Jarto;24
Jegor;24
Jerko;24
Josa;24
Juha-Tapio;24
Juha-Veikko;24
Juho-Jaakko;24
Jukka-Tapio;24
Julio;24
Jurkka;24
Kai-Mikael;24
Kaj-Olof;24
Kassu;24
Leonidas;24
Massimo;24
Michele;24
Murad;24
Onni-Oskari;24
Penna;24
Per-Henrik;24
Rani;24
Reini;24
Riku-Ville;24
River;24
Rohan;24
Saleh;24
Sani;24
Sebastien;24
Semen;24
Siimon;24
Silver;24
Sirius;24
Tero-Matti;24
Tomek;24
Valon;24
Veli-Markus;24
Vili-Pekka;24
Ville-Waltteri;24
Vitalii;24
Vjatseslav;24
Walther;24
Wiljo;24
Yassine;24
Yuusuf;24
Zana;24
Aalia;23
Adelle;23
Agnieszka;23
Angel;23
Annariitta;23
Anni-Helena;23
Anniliina;23
Anu-Maija;23
Arlinda;23
Arta;23
Arya;23
Asiya;23
Athena;23
Audrey;23
Aviva;23
Beatriz;23
Camila;23
Dunya;23
Eeva-Helena;23
Effi;23
Egzona;23
Eliise;23
Elvina;23
Emilja;23
Emma-Liina;23
Giselle;23
Hanna-Kaarina;23
Helianna;23
Helky;23
Hilja-Maria;23
Idamaria;23
Ikran;23
Jennimari;23
Jerika;23
Kaneli;23
Katalin;23
Kendra;23
Kirsi-Marjut;23
Laura-Emilia;23
Leena-Marjatta;23
Leo;23
Lidija;23
Liine;23
Lissu;23
Luana;23
Lumikukka;23
Mariaana;23
Maria-Riitta;23
Mari-Elina;23
Mari-Kaisa;23
Marinella;23
Melika;23
Miina-Maria;23
Nafisa;23
Néa;23
Neila;23
Niina-Mari;23
Noella;23
Olka;23
Oodi;23
Pia-Leena;23
Pia-Sofia;23
Poppy;23
Pyry;23
Päivi-Maria;23
Quynh;23
Raissa;23
Rawan;23
Rosanne;23
Rosemarie;23
Salla-Maija;23
Sanaa;23
Sanniina;23
Sansa;23
Sasa;23
Sini-Sofia;23
Sirppa;23
Taiju;23
Triinu;23
Tupu;23
Tuttu;23
Tuulevi;23
Ull-Britt;23
Vicky;23
Vilna;23
Abdiqani;23
Adolf;23
Afrim;23
Ajan;23
Alve;23
Ari-Jussi;23
Ba;23
Baris;23
Besnik;23
Björn-Erik;23
Darren;23
Dexter;23
Efraim;23
Egzon;23
Emerik;23
Emran;23
Feija;23
Frans-Emil;23
Freddie;23
Gerald;23
Gerhard;23
Giovanni;23
Hermann;23
Iipo;23
Jacques;23
Janne-Juhani;23
Jere-Pekka;23
Jiko;23
Jommi;23
Julien;23
Jurij;23
Kasim;23
Kelvin;23
Kerim;23
Khadar;23
Kim-Erik;23
Koda;23
Kouta;23
Lino;23
Luan;23
Maher;23
Mahmood;23
Manfred;23
Markos;23
Masud;23
Meelis;23
Mica;23
Mikkel;23
Muhsin;23
Nader;23
Nando;23
Nasim;23
Nichlas;23
Nicolás;23
Nikki;23
Noureddine;23
Rebin;23
Ronan;23
Saabir;23
Sakri;23
Salar;23
Salih;23
Sointu;23
Soni;23
Stefanos;23
Timo-Juhani;23
Touho;23
Trung;23
Tryggve;23
Umut;23
Voima;23
Yosef;23
Aamina;22
Ada-Emilia;22
Alaa;22
Alda;22
Anett;22
Anna-Elisa;22
Asra;22
Cleo;22
Darling;22
Dolores;22
Elia;22
Ellida;22
Elmiira;22
Else-May;22
Emmi-Julia;22
Gunvi;22
Hajar;22
Havin;22
Henriina;22
Iija;22
Isela;22
Janelle;22
Jeanne;22
Jemilia;22
Jenni-Kaisa;22
Kaisaleena;22
Kati-Johanna;22
Kiki;22
Latifa;22
Liilia;22
Liisamaija;22
Lilith;22
Lolita;22
Lotta-Liisa;22
Lotta-Sofia;22
Lucinda;22
Lumi-Kukka;22
Madeline;22
Mahnaz;22
Maija-Reetta;22
Mairit;22
Malina;22
Malle;22
Mari-Helena;22
Mariita;22
Marjam;22
Melita;22
Miana;22
Milo;22
Mireille;22
Mirigli;22
Naana;22
Nanja;22
Natalya;22
Natascha;22
Nawaal;22
Nikolina;22
Nina-Mari;22
Olesja;22
Osmi;22
Pipa;22
Randa;22
Rebekah;22
Reetta-Maija;22
Riina-Maija;22
Riittaliisa;22
Roda;22
Rosina;22
Roya;22
Salwa;22
Sarai;22
Shani;22
Siena;22
Siiri-Maria;22
Silke;22
Sirena;22
Sirpa-Riitta;22
Sumeya;22
Suvi-Anna;22
Talia;22
Therése;22
Varma;22
Vivianne;22
Wivi;22
Aape;22
Abdalla;22
Abdellah;22
Abshir;22
Alen;22
Alho;22
Almir;22
Alvaro;22
Antti-Eemeli;22
Antti-Heikki;22
Ari-Heikki;22
Ari-Petri;22
Bujar;22
Carl-Axel;22
Carl-Oscar;22
Danilo;22
Davide;22
Demir;22
Eetu-Oskari;22
Elion;22
Emmett;22
Erland;22
Firas;22
Georgii;22
Grigory;22
Guled;22
Helke;22
Hisham;22
Jama;22
Jan-Ove;22
Jaxon;22
Josiah;22
Lenni-Kalle;22
Liibaan;22
Matin;22
Michal;22
Mihkel;22
Muscab;22
Nadir;22
Naim;22
Nikodemus;22
Nuka;22
Olli-Juhani;22
Robbie;22
Samson;22
Savva;22
Sergio;22
Serkan;22
Sharif;22
Shawn;22
Terje;22
Tiko;22
Tommie;22
Upi;22
Veli-Ville;22
Vesa-Petri;22
Weikka;22
Wilson;22
Agnetha;21
Aile;21
Aliyah;21
Anna-Kristina;21
Anna-Lea;21
Anna-Leea;21
Annel;21
Annmarie;21
April;21
Ariella;21
Aysha;21
Beada;21
Beerit;21
Blerta;21
Cesilia;21
Chanel;21
Damla;21
Delila;21
Dorita;21
Dunja;21
Eerica;21
Elham;21
Elliida;21
Emelina;21
Emmaleena;21
Estel;21
Hayat;21
Heli-Maija;21
Hilla-Maaria;21
Ida-Maija;21
Ing-Britt;21
Inka-Riina;21
Jamie;21
Jevgenia;21
Katja-Mari;21
Kesia;21
Kirsi-Maija;21
Krisztina;21
Leandra;21
Leenamaija;21
Leenu;21
Lis-Britt;21
Liz;21
Mahsa;21
Mai-Britt;21
Maija-Helena;21
Maiju-Leena;21
Maikku;21
Maileena;21
Marja-Maija;21
Mertta;21
Michele;21
Mihaela;21
Miia-Maarit;21
Miiu;21
Minnamaria;21
Minna-Marja;21
Mirna;21
Mulki;21
Naimi;21
Nani;21
Neta;21
Nhu;21
Nuura;21
Piela;21
Pihka;21
Piia-Pauliina;21
Piia-Riitta;21
Piiku;21
Princess;21
Päivi-Helena;21
Rahaf;21
Roberta;21
Rode;21
Rosamaria;21
Sahro;21
Saili;21
Serja;21
Signhild;21
Sivia;21
Taisa;21
Tanja-Maria;21
Teuta;21
Torborg;21
Varpu-Leena;21
Virpi-Liisa;21
Viviann;21
Yen;21
Abderrahmane;21
Abdihakim;21
Abdulaziz;21
Adan;21
Adi;21
Adriano;21
Agim;21
Aku-Matti;21
Aldin;21
Antonios;21
Antreas;21
Arben;21
Art;21
Aso;21
Astor;21
Bengt-Erik;21
Bruuno;21
Cai;21
Constantin;21
Dany;21
Dilan;21
Dominick;21
Ebrahim;21
Emad;21
Emiel;21
Emile;21
Georges;21
Hardy;21
Hemi;21
Henkka;21
Jalle;21
Jan-Krister;21
Joni-Petri;21
Jontte;21
Juhopekka;21
Karl-Oskar;21
Kilian;21
Kurt-Erik;21
Lowe;21
Masoud;21
Meo;21
Mete;21
Muaad;21
Muhamad;21
Natan;21
Natanael;21
Nikolaus;21
Niro;21
Nour;21
Nuur;21
Ossi-Pekka;21
Ousman;21
Pirkka-Pekka;21
Poju;21
Rebwar;21
Reni;21
Riad;21
Ringo;21
Roobert;21
Safet;21
Salem;21
Sami-Jussi;21
Sandor;21
Shayan;21
Soran;21
Thommy;21
Timoteus;21
Veli-Petri;21
Wiktor;21
Yaasir;21
Yann;21
Yasser;21
Yki;21
Adelie;20
Afnaan;20
Aleksina;20
Alexandria;20
Amalie;20
Amela;20
Amie;20
Aniela;20
Anja-Kaarina;20
Anna-Kreetta;20
Anna-Tuulia;20
Ann-Cathrine;20
Anne-Elina;20
Arabella;20
Asal;20
Asho;20
Asla;20
